Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24030750020048RH6,115.141,4.99966,5.00008,PASSED,PASSED,PASSED,PASSED,123.2,280,FAIL,8/8/2024 9:33:35 AM
ZJ24030750020048RH6,115.505,4.9994,5.00046,PASSED,PASSED,PASSING,PASSED,137.6,277.6,FAIL,8/8/2024 9:36:08 AM
ZJ24030750020726RH6,114.931,5,5.0001,PASSED,PASSED,PASSED,PASSED,152,349.6,FAIL,8/8/2024 9:38:22 AM
ZJ24030750020147RH6,115.348,4.99982,5.00034,PASSED,PASSED,PASSED,PASSED,284,125.6,FAIL,8/8/2024 9:39:40 AM
ZJ24030750020147RH6,115.728,5.00024,4.99957,PASSED,FAILED,FAILED,FAILED,262.8,9.91E+46,FAIL,8/8/2024 9:41:24 AM
ZJ24030750020147RH6,119.927,5.00044,5.00015,PASSED,PASSED,PASSED,PASSED,284,143.6,FAIL,8/8/2024 9:42:27 AM
ZJ24030750020147RH6,116.474,4.99996,4.99967,PASSED,PASSED,PASSING,PASSED,300.8,146,FAIL,8/8/2024 9:43:42 AM
ZJ24030750020046RH6,115.149,5.00024,5.00005,PASSED,PASSED,PASSED,PASSED,133.6,284.8,FAIL,8/8/2024 9:45:46 AM
ZJ24030750020046RH6,115.497,4.99974,4.99956,PASSED,PASSED,PASSED,PASSED,118.4,294.4,FAIL,8/8/2024 9:47:16 AM
ZJ24030750020146RH6,119.576,4.99968,4.99961,PASSED,FAILED,PASSED,PASSED,152,348.8,FAIL,8/8/2024 9:48:48 AM
ZJ24030750020146RH6,119.965,5,4.99952,PASSED,PASSED,PASSED,PASSED,163.2,318.4,FAIL,8/8/2024 9:50:00 AM
ZJ24030750020231RH6,116.295,5.00012,5.00043,PASSED,PASSED,PASSED,PASSED,297.6,197.6,FAIL,8/8/2024 9:51:04 AM
ZJ24030750020231RH6,116.804,4.99952,4.99981,PASSED,FAILED,FAILED,FAILED,290.4,190.4,FAIL,8/8/2024 9:52:43 AM
ZJ24030750020700RH6,116.282,5.00004,4.9994,PASSED,PASSED,PASSED,PASSED,192,275.2,FAIL,8/8/2024 9:54:04 AM
ZJ24030750020768RH6,120.195,4.9997,4.99976,PASSED,PASSED,FAILED,FAILED,119.2,288.4,FAIL,8/8/2024 9:55:18 AM
ZJ24030750020599RH6,115.797,5.00014,5.00024,PASSED,PASSED,PASSED,PASSED,259.2,204.8,FAIL,8/8/2024 9:56:20 AM
ZJ24030750020599RH6,120.464,5.00028,4.99967,PASSED,PASSED,PASSED,PASSED,271.2,183.2,FAIL,8/8/2024 9:57:35 AM
ZJ24030750020613RH6,114.183,4.99968,4.99997,PASSED,PASSED,PASSED,PASSED,296.8,193.2,FAIL,8/8/2024 9:58:51 AM
ZJ24030750020049RH6,115.037,4.9998,5.00022,PASSED,PASSED,PASSED,PASSED,168.8,304,FAIL,8/8/2024 9:59:53 AM
ZJ24030750020098RH6,116.48,4.99982,4.99994,PASSED,PASSED,PASSED,PASSED,294.4,148.8,FAIL,8/8/2024 10:12:32 AM
ZJ24030750020098RH6,117.029,4.99988,5.00005,PASSED,PASSED,PASSED,PASSED,288,144,FAIL,8/8/2024 10:13:49 AM
ZJ24030750020120RH6,117.974,5.00004,4.99966,PASSED,PASSED,PASSED,PASSED,296,78.8,FAIL,8/8/2024 10:14:55 AM
ZJ24030750020228RH6,116.656,4.99932,5.00004,PASSED,PASSED,PASSED,PASSED,188.8,337.6,FAIL,8/8/2024 10:15:53 AM
ZJ24030750020232RH6,115.262,5.00032,5.00044,PASSED,FAILED,PASSED,PASSED,161.6,311.2,FAIL,8/8/2024 10:17:27 AM
ZJ24030750020623RH6,118.426,4.99964,4.99961,PASSED,PASSED,PASSED,PASSED,259.2,225.2,PASS,8/8/2024 10:18:43 AM
ZJ24030750020717RH6,115.093,4.99992,4.99983,PASSED,FAILED,PASSED,PASSED,259.2,160,FAIL,8/8/2024 10:19:55 AM
ZJ24030750020692RH6,118.752,5,5.00023,PASSED,PASSED,PASSED,PASSED,275.2,189.6,FAIL,8/8/2024 10:21:28 AM
ZJ24030750020222RH6,115.461,5.00006,5.00062,PASSED,PASSED,PASSED,PASSED,179.6,320,FAIL,8/8/2024 10:22:50 AM
ZJ24030750020037RH6,115.424,5,5.00018,PASSED,PASSED,PASSED,PASSED,221.6,304.4,FAIL,8/8/2024 10:24:23 AM
ZJ24030750020655RH6,115.428,5.00022,5.00007,PASSED,PASSED,PASSED,PASSED,118.4,223.2,FAIL,8/8/2024 10:25:36 AM
ZJ24030750020655RH6,116.067,4.99992,5.00001,PASSED,PASSED,PASSING,PASSED,134.4,246.4,FAIL,8/8/2024 10:26:54 AM
ZJ24030750020763RH6,115.294,5.0001,4.99961,PASSED,PASSED,PASSED,PASSED,143.2,293.6,FAIL,8/8/2024 10:27:59 AM
ZJ24030750020211RH6,115.797,5.00032,4.9994,PASSED,PASSED,PASSED,PASSED,197.6,239.2,FAIL,8/8/2024 10:29:04 AM
ZJ24030750020725RH6,115.548,4.99944,5.00014,PASSED,PASSED,PASSED,PASSED,167.2,251.2,FAIL,8/8/2024 10:30:17 AM
ZJ24030750020495RH6,119.612,4.99972,4.99988,PASSED,PASSED,PASSED,PASSED,298.8,170.4,FAIL,8/8/2024 10:31:41 AM
ZJ24030750020495RH6,120.075,4.99966,4.9996,PASSED,PASSED,PASSED,PASSED,288,162.4,FAIL,8/8/2024 10:32:59 AM
ZJ24030750020368RH6,115.48,5.00018,5.00005,PASSED,PASSED,PASSED,PASSED,196.8,216.8,FAIL,8/8/2024 10:34:20 AM
ZJ24030750020212RH6,115.631,5,5.00059,PASSED,PASSED,PASSED,PASSED,148,296.4,FAIL,8/8/2024 10:35:37 AM
ZJ24030750020480RH6,119.06,4.9997,4.99969,PASSED,PASSED,PASSED,PASSED,166.4,290.4,FAIL,8/8/2024 10:36:36 AM
ZJ24030750020362RH6,114.357,4.99972,5.00028,PASSED,PASSED,PASSING,PASSED,300.8,130.4,FAIL,8/8/2024 10:37:47 AM
ZJ24030750020362RH6,114.822,5.00016,5.00005,PASSED,PASSED,PASSED,PASSED,307.2,182.4,FAIL,8/8/2024 10:39:14 AM
ZJ24030750020882RH6,115.816,5.00024,5.00055,PASSED,PASSED,PASSED,PASSED,200.8,310,FAIL,8/8/2024 10:40:23 AM
ZJ24030750020016RH6,113.931,4.99982,4.99999,PASSED,PASSED,PASSED,PASSED,179.2,276.8,FAIL,8/8/2024 10:41:31 AM
ZJ24030750020833RH6,114.818,5.00046,4.99949,PASSED,FAILED,FAILED,FAILED,232.8,302.8,FAIL,8/8/2024 10:42:46 AM
ZJ24030750020833RH6,115.424,5.00012,4.99999,PASSED,FAILED,PASSED,PASSED,228.8,328,FAIL,8/8/2024 10:44:17 AM
ZJ24030750020833RH6,115.876,5.00016,4.99935,PASSED,PASSED,PASSED,PASSED,235.2,330.8,PASS,8/8/2024 10:45:19 AM
ZJ24030750020601RH6,118.342,4.9998,4.9994,PASSED,PASSED,PASSED,PASSED,241.6,240,PASS,8/8/2024 10:46:41 AM
ZJ24030750020417RH6,115.085,4.99988,5.00014,PASSED,PASSED,PASSED,PASSED,137.6,286.4,FAIL,8/8/2024 10:47:56 AM
ZJ24030750020417RH6,115.635,5.00016,4.99987,PASSED,PASSED,PASSING,PASSED,192.4,302,FAIL,8/8/2024 10:48:55 AM
ZJ24030750020618RH6,119.184,5.00036,4.99946,PASSED,FAILED,PASSED,PASSED,279.2,184.8,FAIL,8/8/2024 10:50:26 AM
ZJ24030750020618RH6,119.881,4.99972,4.99971,PASSED,PASSED,PASSED,PASSED,281.6,236.4,PASS,8/8/2024 10:51:46 AM
ZJ24030750020828RH6,115.461,5.00008,5.00002,PASSED,PASSED,PASSED,PASSED,248,226,PASS,8/8/2024 10:53:12 AM
ZJ24030750020169RH6,116.962,5.00004,5.00009,PASSED,PASSED,PASSED,PASSED,297.6,182.8,FAIL,8/8/2024 10:54:32 AM
ZJ24030750020169RH6,117.695,4.99956,5.00071,PASSED,PASSED,PASSING,PASSED,301.6,194,FAIL,8/8/2024 10:55:36 AM
