Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24030750020222RH6,115.469,4.99976,5.0004,PASSED,PASSED,PASSED,PASSED,167.2,312.8,PASS,8/14/2024 7:07:53 AM
ZJ24030750020763RH6,115.327,5.00008,5.00035,PASSED,PASSED,PASSING,PASSED,140.8,269.6,PASS,8/14/2024 7:09:09 AM
ZJ24030750020495RH6,119.659,5.00004,4.99972,PASSED,PASSED,PASSING,PASSED,308,171.2,PASS,8/14/2024 7:10:13 AM
ZJ24030750020362RH6,114.385,5.00058,4.99971,PASSED,PASSED,PASSED,PASSED,298.4,179.2,PASS,8/14/2024 7:11:23 AM
ZJ24030750020655RH6,115.837,4.99986,5.00018,PASSED,PASSED,PASSED,PASSED,152,228,PASS,8/14/2024 7:13:35 AM
ZJ24030750020037RH6,115.452,4.9994,5.00002,PASSED,PASSED,PASSED,PASSED,232.8,287.2,PASS,8/14/2024 7:14:39 AM
ZJ24030750020048RH6,115.181,4.9997,5.00033,PASSED,FAILED,PASSED,PASSED,150.4,276.8,FAIL,8/14/2024 7:15:53 AM
ZJ24030750020048RH6,115.616,5.0004,5.00014,PASSED,PASSED,PASSED,PASSED,168.8,272,PASS,8/14/2024 7:17:00 AM
ZJ24030750020623RH6,118.487,5.00018,4.99981,PASSED,PASSED,FAILED,FAILED,278.4,212,FAIL,8/14/2024 7:18:26 AM
ZJ24030750020623RH6,119.058,4.99984,5.00016,PASSED,PASSED,PASSED,PASSED,268.8,219.2,PASS,8/14/2024 7:19:39 AM
ZJ24030750020228RH6,116.615,4.99988,5.00017,PASSED,PASSED,PASSED,PASSED,184,332,PASS,8/14/2024 7:20:40 AM
ZJ24030750020768RH6,120.325,4.99984,5.00019,PASSED,PASSED,PASSED,PASSED,141.6,308,PASS,8/14/2024 7:21:43 AM
ZJ24030750020599RH6,115.947,4.9994,4.99986,PASSED,PASSED,PASSING,PASSED,271.6,164,PASS,8/14/2024 7:22:59 AM
ZJ24030750020613RH6,114.217,5.00028,5.00041,PASSED,PASSED,PASSED,PASSED,289.6,200.8,PASS,8/14/2024 7:24:04 AM
ZJ24030750020726RH6,115.043,4.99956,5.00021,PASSED,PASSED,PASSING,PASSED,125.6,337.6,PASS,8/14/2024 7:25:18 AM
ZJ24030750020231RH6,116.29,4.9999,4.99981,PASSED,FAILED,PASSED,PASSED,274.8,226,FAIL,8/14/2024 7:29:26 AM
ZJ24030750020231RH6,116.913,5,4.99985,PASSED,PASSED,PASSED,PASSED,268,231.2,PASS,8/14/2024 7:30:35 AM
ZJ24030750020147RH6,115.382,5.00056,5.00011,PASSED,PASSED,PASSING,PASSED,247.2,152.4,PASS,8/14/2024 7:35:29 AM
ZJ24030750020046RH6,115.122,5,4.99983,PASSED,PASSED,PASSED,PASSED,136,280.8,PASS,8/14/2024 7:37:03 AM
ZJ24030750020146RH6,115.356,4.99992,5.00013,PASSED,FAILED,PASSED,PASSED,180,334.8,FAIL,8/14/2024 7:38:13 AM
ZJ24030750020146RH6,119.98,5.00006,4.99948,PASSED,FAILED,PASSED,PASSED,184.8,348,FAIL,8/14/2024 7:40:51 AM
ZJ24030750020146RH6,120.545,5,4.99983,PASSED,PASSED,PASSED,PASSED,169.6,328.8,PASS,8/14/2024 7:42:06 AM
ZJ24030750020200RH6,122.446,4.9998,4.99984,PASSED,PASSED,PASSED,PASSED,300,160.8,PASS,8/14/2024 7:43:19 AM
ZJ24030750020700RH6,116.345,4.99998,5.00003,PASSED,PASSED,PASSED,PASSED,183.6,265.2,PASS,8/14/2024 7:44:27 AM
ZJ24030750020049RH6,115.063,4.99984,4.99998,PASSED,PASSED,PASSED,PASSED,196,326,PASS,8/14/2024 7:45:45 AM
ZJ24030750020120RH6,118.016,5,5.00027,PASSED,PASSED,PASSED,PASSED,268,158.4,PASS,8/14/2024 7:47:31 AM
ZJ24030750020120RH6,118.68,4.9999,4.99954,PASSED,PASSED,FAILED,FAILED,297.6,137.6,FAIL,8/14/2024 7:48:38 AM
ZJ24030750020098RH6,116.724,5.0005,4.99966,PASSED,PASSED,PASSED,PASSED,321.6,148.8,PASS,8/14/2024 7:49:40 AM
ZJ24030750020053RH6,114.842,5.00044,5.00036,PASSED,FAILED,PASSED,PASSED,172,-211.2,FAIL,8/14/2024 7:51:01 AM
ZJ24030750020053RH6,115.478,5.00008,4.9996,PASSED,FAILED,PASSING,PASSED,176,-224.8,FAIL,8/14/2024 7:52:20 AM
ZJ24030750020120RH6,118.731,5.00034,5.00016,PASSED,PASSED,FAILED,FAILED,278.4,176,FAIL,8/14/2024 7:53:42 AM
ZJ24030750020120RH6,119.458,4.9994,5.00015,PASSED,PASSED,FAILED,FAILED,290.8,153.2,FAIL,8/14/2024 7:54:45 AM
ZJ24030750020124RH6,121.248,4.99988,4.99964,PASSED,PASSED,PASSED,PASSED,180,-218.4,FAIL,8/14/2024 7:55:51 AM
ZJ24030750020427RH6,114.345,4.99996,5.00019,PASSED,PASSED,PASSED,PASSED,-271.2,301.2,FAIL,8/14/2024 7:56:53 AM
ZJ24030750020217RH6,116.602,5.00003,4.99956,PASSED,PASSED,PASSED,PASSED,279.6,312.8,PASS,8/14/2024 8:09:52 AM
ZJ24030750020377RH6,114.124,4.99984,4.99952,PASSED,FAILED,PASSED,PASSED,313.6,317.6,FAIL,8/14/2024 8:11:01 AM
ZJ24030750020377RH6,114.662,4.9998,5.00038,PASSED,FAILED,FAILED,FAILED,260.8,303.2,FAIL,8/14/2024 8:12:34 AM
ZJ24030750020377RH6,115.119,4.99956,5.00012,PASSED,FAILED,PASSED,PASSED,288,313.2,FAIL,8/14/2024 8:13:34 AM
ZJ24030750020120RH6,118.344,5.00044,4.99969,PASSED,PASSED,PASSED,PASSED,296,162,PASS,8/14/2024 8:14:37 AM
ZJ24030750020817RH6,119.366,4.99986,5.00002,PASSED,PASSED,PASSED,PASSED,300,304.4,PASS,8/14/2024 8:15:44 AM
ZJ24030750020097RH6,115.382,5.00054,4.99999,PASSED,PASSED,PASSED,PASSED,251.2,291.2,PASS,8/14/2024 8:17:01 AM
ZJ24030750020265RH6,114.921,4.99972,4.99977,PASSED,PASSED,PASSED,PASSED,276,293.6,PASS,8/14/2024 8:18:04 AM
ZJ24030750020102RH6,114.882,5.00032,4.99962,PASSED,PASSED,PASSED,PASSED,273.6,303.2,PASS,8/14/2024 8:19:10 AM
ZJ24030750020021RH6,115.626,4.9998,4.99958,PASSED,FAILED,PASSED,PASSED,256,321.6,FAIL,8/14/2024 8:20:24 AM
ZJ24030750020021RH6,116.267,5.00008,5.00022,PASSED,FAILED,PASSED,PASSED,275.2,340.4,FAIL,8/14/2024 8:21:47 AM
ZJ24030750020377RH6,114.367,5,4.99977,PASSED,FAILED,FAILED,FAILED,303.6,318.4,FAIL,8/14/2024 8:22:58 AM
ZJ24030750020238RH6,120.239,4.99994,4.99987,PASSED,FAILED,FAILED,FAILED,263.2,309.2,FAIL,8/14/2024 8:24:13 AM
ZJ24030750020752RH6,119.884,4.99952,5.00061,PASSED,PASSED,PASSED,PASSED,286,256.4,PASS,8/14/2024 8:25:10 AM
ZJ24030750020157RH6,115.649,4.99932,5.00002,PASSED,FAILED,PASSED,PASSED,253.6,271.2,FAIL,8/14/2024 8:28:54 AM
ZJ24030750020157RH6,116.315,5.00012,5.00049,PASSED,PASSED,FAILED,FAILED,244,276.8,FAIL,8/14/2024 8:30:15 AM
ZJ24030750020021RH6,115.875,4.99952,4.99997,PASSED,FAILED,PASSING,PASSED,258.4,301.6,FAIL,8/14/2024 8:31:28 AM
ZJ24030750020418RH6,120.757,5.00008,4.99998,PASSED,PASSED,PASSED,PASSED,260.8,231.2,PASS,8/14/2024 8:32:25 AM
ZJ24030750020790RH6,114.99,4.99984,4.99991,PASSED,FAILED,PASSED,PASSED,271.2,296,FAIL,8/14/2024 8:33:44 AM
ZJ24030750020790RH6,115.592,5.00036,5.00054,PASSED,FAILED,PASSING,PASSED,312.4,312.8,FAIL,8/14/2024 8:34:58 AM
ZJ24030750020377RH6,114.233,5.0006,4.99999,PASSED,PASSED,PASSED,PASSED,272,321.6,PASS,8/14/2024 8:35:56 AM
