Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24051570010033RH6,117.218,4.99962,4.99988,PASSED,PASSED,FAILED,FAILED,404,455.2, --- , 4.99934,4.99993,PASSED,PASSED,PASSED,PASSED,431.2,442.4,PASS,6/26/2024 1:41:17 PM
ZJ24051570010040RH6,115.904,4.99952,4.99946,PASSED,PASSED,PASSED,PASSED,399.2,412.8,PASS,6/26/2024 1:42:19 PM
ZJ24051570010041RH6,116.927,5.00008,5.00052,PASSED,PASSED,PASSED,PASSED,368,429.6,PASS,6/26/2024 1:43:21 PM
ZJ24051570010047RH6,116.11,5.00002,4.99941,PASSED,PASSED,PASSING,PASSED,395.2,448,PASS,6/26/2024 1:53:52 PM
ZJ24051570010026RH6,117.527,4.99958,5.00054,PASSED,PASSED,PASSED,PASSED,365.6,424,PASS,6/26/2024 2:16:01 PM
ZJ24051570010105RH6,117.521,4.99996,5.00017,PASSED,PASSED,PASSED,PASSED,403.2,436.4,PASS,6/26/2024 2:17:34 PM
